Concentration
0.0
84.9
239.0
233.0
220.0
236.4
245.1
230.0
227.8
261.9
311.7
321.0
316.6
220.7
231.7
199.4
211.1
190.8
155.2
140.1
144.2
138.34057377049177
135.49426229508194
132.6479508196721
129.80163934426227
126.95532786885244
124.1090163934426
121.26270491803277
118.41639344262293
115.57008196721308
112.72377049180325
109.8774590163934
107.03114754098357
104.18483606557373
101.3385245901639
98.49221311475407
95.64590163934423
92.7995901639344
89.95327868852455
87.10696721311471
84.26065573770488
81.41434426229505
78.56803278688521
75.72172131147538
72.87540983606553
70.0290983606557
67.18278688524586
64.33647540983603
61.49016393442619
58.64385245901636
55.79754098360651
52.951229508196676
50.10491803278684
47.25860655737701
44.41229508196717
41.565983606557324
38.71967213114749
35.873360655737656
33.02704918032782
30.180737704917988
27.334426229508153
24.48811475409832
21.641803278688485
18.795491803278622
15.949180327868788
13.102868852458954
10.25655737704912
7.410245901639286
4.5639344262294514
1.7176229508196172
